ss_id	ss_name	ss_lat	ss_long
408	ул.Первомайская	53.211212	50.122053
409	Октябрьская набережная	53.215195	50.132251
410	ул.Соколова	53.213518	50.141810
411	ул.Челюскинцев	53.212044	50.139010
412	Дворец Пионеров	53.196512	50.094834
413	Театр Кукол	53.189848	50.103915
414	Стадион Динамо	53.188804	50.108287
415	ул.Буянова	53.187280	50.114595
416	Станция метро Гагаринская	53.200380	50.175303
417	Клиники Медуниверситета	53.200116	50.166575
418	Клиники Медуниверситета	53.199927	50.167283
419	ул.Тухачевского	53.197536	50.157681
420	ул.Тухачевского	53.197359	50.157751
421	ул.Арцыбушевская	53.201103	50.128917
422	Площадь Сельского хозяйства	53.205771	50.123092
423	Площадь Сельского хозяйства	53.204794	50.123956
424	Дворец Спорта	53.205719	50.117980
425	Дворец Спорта	53.205925	50.118999
426	Самарская площадь	53.202741	50.111355
427	Самарская площадь	53.202625	50.111452
428	ул.Ульяновская	53.200754	50.106850
429	ул.Ульяновская	53.199443	50.104979
430	Площадь Куйбышева	53.195698	50.099824
431	Площадь Куйбышева	53.196401	50.100535
432	ул.Некрасовская	53.189986	50.090418
433	ул.Некрасовская	53.190011	50.090718
434	Площадь Революции	53.185640	50.088744
435	ул.Арцыбушевская	53.201525	50.128120
436	Станция метро Гагаринская	53.200158	50.175879
437	Телецентр	53.227791	50.194111
438	Торговый городок	53.222839	50.200945
439	Торговый городок	53.222097	50.202174
440	Магазин	53.219396	50.205392
441	Магазин	53.219390	50.205693
442	Экономическая академия	53.216187	50.209475
443	Экономическая академия	53.215892	50.210081
444	ул.Советской Армии	53.212397	50.214598
445	ул.Советской Армии	53.212663	50.215226
446	Машиностроительный колледж	53.212660	50.219581
447	Машиностроительный колледж	53.212843	50.221110
448	ул.Вольская	53.211333	50.228961
449	ул.Вольская	53.211639	50.229143
451	Станция метро Победа	53.206243	50.235407
452	ул.Красных Коммунаров	53.204097	50.238175
454	Госбанк	53.199362	50.257881
455	ул.Кабельная	53.202537	50.265574
