rc_id	rl_id	ss_id	rc_orderby	rc_dist
236813	2368	565	13	0.523000
236814	2368	26	14	0.464000
236815	2368	27	15	0.965000
236816	2368	563	16	0.381260
236817	2368	561	17	0.241298
236818	2368	559	18	0.352856
236819	2368	183	19	0.039277
236820	2368	182	20	0.000000
236901	2369	182	1	0.584404
236902	2369	560	2	0.448771
236903	2369	562	3	0.817000
236904	2369	52	4	0.451557
236905	2369	53	5	0.458000
236906	2369	564	6	0.531554
236907	2369	566	7	0.502400
236908	2369	568	8	0.507195
236909	2369	190	9	0.766000
236910	2369	192	10	0.410358
236911	2369	194	11	0.961000
236912	2369	569	12	0.671389
236913	2369	571	13	0.377322
236914	2369	573	14	0.376136
236915	2369	575	15	0.366000
236916	2369	451	16	0.311000
236917	2369	452	17	0.297926
236918	2369	486	18	0.000000
237001	2370	486	1	0.327706
237002	2370	477	2	0.434168
237003	2370	576	3	0.390946
237004	2370	574	4	0.447000
237005	2370	572	5	0.657000
237006	2370	570	6	0.816375
237007	2370	195	7	0.493555
237008	2370	193	8	0.706436
237009	2370	191	9	0.412283
237010	2370	578	10	0.562370
237011	2370	567	11	0.594632
237012	2370	565	12	0.523000
237013	2370	26	13	0.464000
237014	2370	27	14	0.965000
237015	2370	563	15	0.381260
237016	2370	561	16	0.241298
237017	2370	559	17	0.352856
237018	2370	183	18	0.039277
237019	2370	182	19	0.000000
256501	2565	183	1	0.421391
256502	2565	595	2	0.640464
256503	2565	440	3	0.462882
256504	2565	442	4	0.653855
256505	2565	483	5	0.560525
256506	2565	481	6	0.522372
256507	2565	479	7	0.464663
256508	2565	273	8	0.249453
256509	2565	274	9	0.833906
256510	2565	31	10	0.534468
256511	2565	32	11	0.873940
256512	2565	176	12	1.056916
256513	2565	337	13	0.904818
256514	2565	338	14	0.798132
256515	2565	339	15	0.436391
256516	2565	340	16	0.559407
256517	2565	341	17	0.252806
256518	2565	342	18	0.408965
256519	2565	343	19	0.597473
256520	2565	344	20	0.607523
256521	2565	345	21	0.666976
256522	2565	346	22	0.429265
256523	2565	347	23	0.499742
256524	2565	348	24	0.000000
256601	2566	348	1	0.535000
256602	2566	349	2	0.337000
256603	2566	350	3	0.632000
256604	2566	351	4	0.398000
256605	2566	1400	5	0.277000
256606	2566	352	6	0.724000
256607	2566	353	7	0.400000
256608	2566	354	8	0.190000
256609	2566	355	9	0.512000
256610	2566	356	10	0.471000
256611	2566	357	11	0.807000
256612	2566	1455	12	0.947000
256613	2566	359	13	0.947000
256614	2566	147	14	0.978000
256615	2566	79	15	0.570000
256616	2566	48	16	0.649000
256617	2566	226	17	0.224000
256618	2566	227	18	0.454000
256619	2566	478	19	0.605000
256620	2566	480	20	0.582000
256621	2566	482	21	0.806000
256622	2566	443	22	0.502000
256623	2566	441	23	0.645000
256624	2566	596	24	0.461000
256625	2566	597	25	0.027000
256626	2566	183	26	0.000000
296501	2965	226	1	0.223000
296502	2965	227	2	0.454000
296503	2965	478	3	0.605000
296504	2965	480	4	0.582000
296505	2965	482	5	0.346000
296506	2965	444	6	0.349000
296507	2965	446	7	0.709000
296508	2965	448	8	0.733000
296509	2965	451	9	0.311000
296510	2965	452	10	1.172000
296511	2965	93	11	0.404000
296512	2965	638	12	0.286000
296513	2965	640	13	0.573000
296514	2965	642	14	0.000000
296601	2966	642	1	0.601000
296602	2966	641	2	0.267000
296603	2966	639	3	0.429000
296604	2966	104	4	1.142000
296605	2966	486	5	0.333000
296606	2966	477	6	0.746000
296607	2966	449	7	0.608000
296608	2966	447	8	0.405000
296609	2966	445	9	0.391000
296610	2966	483	10	0.561000
296611	2966	481	11	0.522000
296612	2966	479	12	0.465000
296613	2966	273	13	0.240000
296614	2966	274	14	0.564000
296615	2966	226	15	0.000000
366501	3665	730	1	0.292992
366502	3665	732	2	0.325000
366503	3665	120	3	0.441000
366504	3665	122	4	0.687000
366505	3665	487	5	0.637299
366506	3665	489	6	0.404283
366507	3665	152	7	0.459051
366508	3665	154	8	0.343837
366509	3665	156	9	0.541237
366510	3665	158	10	0.599901
366511	3665	160	11	0.706468
366512	3665	473	12	0.849450
366513	3665	207	13	1.171000
366514	3665	209	14	0.897000
366515	3665	97	15	0.452890
366516	3665	211	16	0.412010
366517	3665	212	17	0.000000
366601	3666	212	1	0.347000
366602	3666	558	2	0.529837
366603	3666	100	3	0.735196
366604	3666	210	4	1.162079
